id,adresse,cp,ville,pop
18000017,10 AV. DES PRES LE ROI,18000,BOURGES,R
18000018,BOULEVARD DE L'INDUSTRIE,18000,BOURGES,R
18000019,8-10 BOULEVARD DE L'AVENIR,18000,BOURGES,R
18100001,7 Rue Étienne Dolet,18100,VIERZON,R
18100002,18 avenue du 19 mars 1962,18100,VIERZON,R
18100003,"11, rue du 11 novembre 1918",18100,VIERZON,R
18100005,70 RUE du docteur Léo Mérigot,18100,VIERZON,R
18100006,RTE DE BOURGES,18100,Vierzon,R
18100007,106 Avenue Édouard Vaillant,18100,Vierzon,R
18100008,Avenue de Lattre de Tassigny,18100,Vierzon,R
18100010,Route de Bourges,18100,VIERZON,R
18100011,70 RUE LEO MERIGOT,18100,VIERZON,R
18100012,11 RUE DU 11 NOVEMBRE 1918,18100,VIERZON,R
18100013,11 RUE DU 11 NOVEMBRE 1918,18100,VIERZON,R
18103001,Rue du Mouton,18100,Vierzon,R
18110001,Route de Paris,18110,SAINT-MARTIN-D'AUXIGNY,R
18130001,RUE DE L'ERMITAGE,18130,DUN-SUR-AURON,R
18130002,14 route de Bourges,18130,DUN-SUR-AURON,R
18140002,Route de Bourges,18140,SANCERGUES,R
18150001,34 rue jean comte,18150,LA GUERCHE SUR L AUBOIS,R
18160001,ROUTE DE CHATEAUROUX,18160,LIGNIèRES,R
18170001,avenue de l'Europe,18170,Le Châtelet,R
18190001, Route de Levet,18190,CHATEAUNEUF-SUR-CHER,R
18200001,93 Avenue du Général de Gaulle,18200,SAINT-AMAND-MONTROND,R
18200002,43 Rue de Juranville,18200,Saint-Amand-Montrond,R
18200003,AUTOROUTE A 71,18200,FARGES-ALLICHAMPS,A
18200005, Route de Bourges,18200,SAINT-AMAND-MONTROND,R
18200007,ROUTE DE CHARENTON,18200,SAINT AMAND-MONTROND,R
18200008,Route de Nozières,18200,Farges-Allichamps,A
18200009,Z.A. les Noix Brulées,18200,Orval,R
18220001,17 route de bourges,18220,LES AIX-D'ANGILLON,R
18220002,Route de Sancerre,18220,LES AIX-D'ANGILLON,R
18230001,"548, Route d'Orléans",18230,SAINT-DOULCHARD,R
18230002,65 ROUTE D'ORLEANS,18230,Saint-Doulchard,R
18240001,Rue de Beaumont,18240,Belleville-sur-Loire,R
18250002, Rue de Verdun,18250,HENRICHEMONT,R
18300001,rue creuse,18300,SANCERRE,R
18300003,Route de Bourges,18300,Sancerre,R
18300004,ROUTE DE BOURGES,18300,Bué,R
18300005,Route de Ménétréol,18300,Saint-Satur,R
18310001,2 rue du Paradis,18310,Graçay,R
18330001,32 route d'Auxerre,18330,NEUVY-SUR-BARANGEON,R
18350001,Route de Blet,18350,NéRONDES,R
18370001,50 avenue Emile Chenon,18370,Châteaumeillant,R
18390003,191 les Terres du fénestrelay,18390,SAINT GERMAIN DU PUY,R
18400001,ZAC DE LA VIGONNIERE LES BROSSES,18400,Saint-Florent-sur-Cher,R
18400004,Rue Jean Moulin,18400,SAINT-FLORENT-SUR-CHER,R
18410002,Rue des Aubépins,18410,ARGENT-SUR-SAULDRE,R
18500001,Avenue Jean Chatelet,18500,MEHUN-SUR-YèVRE,R
18500002,AUTOROUTE A 71,18500,MARMAGNE,A
18500003,AUT A 71 - AIRE DE BOURGES MARMAGNE,18500,Marmagne,A
18500004,ROUTE DE BOURGES,18500,MEHUN-SUR-YèVRE,R
18500005,AUTOROUTE A71 - AIRE DE BOURGES SAINTE THORETTE,18500,MARMAGNE,A
18500006,A71 AIRE DE BOURGES MARMAGNE,18500,MARMAGNE,A
